acc,recall,precision,f1,threshold,type,data
0.8861731843575419,[0.95338634 0.65367728 0.99172088],[0.99827735 0.98024691 0.68115353],[0.97531557 0.78432664 0.80760896],0.8,balanced,train
0.8741620111731844,[0.95338634 0.60043908 0.9982259 ],[0.99827735 0.99545041 0.65477114],[0.97531557 0.74905854 0.79081752],0.85,balanced,train
0.8681564245810056,[0.94324102 0.59714599 0.9982259 ],[1.         0.996337   0.64231355],[0.97079159 0.74673988 0.78166242],0.9,balanced,train
0.8681564245810056,[0.94324102 0.59714599 0.9982259 ],[1.         0.996337   0.64231355],[0.97079159 0.74673988 0.78166242],0.95,balanced,train
0.8921787709497206,[0.94902386 0.68888889 0.98564593],[0.9977195  0.97178683 0.69360269],[0.97276265 0.80624187 0.81422925],0.8,balanced,test
0.8837988826815643,[0.94902386 0.64444444 0.99760766],[0.9977195  0.98639456 0.67366721],[0.97276265 0.77956989 0.80424301],0.85,balanced,test
0.8804469273743016,[0.94251627 0.64444444 0.99760766],[1.         0.99656357 0.66190476],[0.97040759 0.78272605 0.79580153],0.9,balanced,test
0.8804469273743016,[0.94251627 0.64444444 0.99760766],[1.         0.99656357 0.66190476],[0.97040759 0.78272605 0.79580153],0.95,balanced,test
0.8861731843575419,[0.95338634 0.65367728 0.99172088],[0.99827735 0.98024691 0.68115353],[0.97531557 0.78432664 0.80760896],0.8,unbalanced,train
0.8741620111731844,[0.95338634 0.60043908 0.9982259 ],[0.99827735 0.99545041 0.65477114],[0.97531557 0.74905854 0.79081752],0.85,unbalanced,train
0.8681564245810056,[0.94324102 0.59714599 0.9982259 ],[1.         0.996337   0.64231355],[0.97079159 0.74673988 0.78166242],0.9,unbalanced,train
0.8681564245810056,[0.94324102 0.59714599 0.9982259 ],[1.         0.996337   0.64231355],[0.97079159 0.74673988 0.78166242],0.95,unbalanced,train
0.8921787709497206,[0.94902386 0.68888889 0.98564593],[0.9977195  0.97178683 0.69360269],[0.97276265 0.80624187 0.81422925],0.8,unbalanced,test
0.8837988826815643,[0.94902386 0.64444444 0.99760766],[0.9977195  0.98639456 0.67366721],[0.97276265 0.77956989 0.80424301],0.85,unbalanced,test
0.8804469273743016,[0.94251627 0.64444444 0.99760766],[1.         0.99656357 0.66190476],[0.97040759 0.78272605 0.79580153],0.9,unbalanced,test
0.8804469273743016,[0.94251627 0.64444444 0.99760766],[1.         0.99656357 0.66190476],[0.97040759 0.78272605 0.79580153],0.95,unbalanced,test
